Company	Stage	Description	AI_ML	Generative	MCAD	CAE	CFD	CAM_MES	EDA	AEC	IM_PM	PDM_PLM	VnV_SCM	Hardware	Ecosystem_Community	B_rep	Implicit	Physics	Components	Integrations	URL	Founded	Headquarters	Latitude	Longitude
WAAM3D	Public / PE	AM vendor with focus on large scale extrusions						1													http://www.waam3d.com	2018	Milton Keynes, England	52.0235794	-0.7807044
Wherobots	Pre-seed									1											https://wherobots.com/				
XFEM	Open Source	Open source meshless simulation				1																			
xNilio	Pre-seed	Product level optimization	1		1								1								(stealth)	2023	New York, NY	40.4773991	-74.2590899
Xometry	Public / PE	Custom prototypes and parts						1						1						Hoops Interop	https://www.xometry.com/	2014	Gaithersburg, Maryland	39.1029124	-77.2582691
Zea	Seed	3D interactive part catalogs										1				2	1			CGM, ACIS	https://www.zeaengine.com/	2015	Montréal, Canada	45.4145877	-73.9475431
Zeiss	Public / PE	Global optics manufacturer				1							1						ACIS		https://www.zeiss.com/	1864	Oberkochen, Germany	48.7811379	10.1024573
Zoo	Seed	CAD scripting with ML app	1		1										1	KittyCAD					https://zoo.dev/	2021	Malibu, CA	33.9997573	-118.9240831
Zuken	Public / PE	Electronic design software							1											Hoops Interop	https://www.zuken.com/us	1976	Yokohama, Japan	35.3126113	139.4647646
ZWSoft	Tightly Held	Mainstream CAD/CAM with focus on Chinese market			1			1											MachineWorks		https://zwsoft.com	1998	Guangzhou, China	22.6961015	112.7224731
